ticket_no,flight_id,boarding_no,seat_no
0005435212351,30625,1,2D
0005435212386,30625,2,3G
0005435212381,30625,3,4H
0005432211370,30625,4,5D
0005435212357,30625,5,11A
0005435212360,30625,6,11E
0005435212393,30625,7,11H
0005435212374,30625,8,12E
0005435212365,30625,9,13D
0005435212378,30625,10,14H
0005435212362,30625,11,15E
0005435212334,30625,12,15F
0005435212370,30625,13,15K
0005435212329,30625,14,15H
0005435725513,30625,15,16D
0005435212328,30625,16,16C
0005435630915,30625,17,16E
0005435212388,30625,18,17E
0005432159775,30625,19,17D
0005435212382,30625,20,17H
0005432211367,30625,21,19K
0005435212354,30625,22,20B
0005432211372,30625,23,20F
0005432159776,30625,24,2A
0005435212344,30625,25,20K
0005435212372,30625,26,22B
0005435212355,30625,27,22H
0005435212376,30625,28,23F
0005435725512,30625,29,25D
0005435212385,30625,30,25C
0005435212336,30625,31,26D
0005435212367,30625,32,26J
0005435212359,30625,33,27B
0005435212364,30625,34,27H
0005435725514,30625,35,27K
0005435212338,30625,36,28C
0005435212391,30625,37,28B
0005435212366,30625,38,28G
0005435212347,30625,39,28J
0005432211366,30625,40,28K
0005433656614,30625,41,29D
0005435212383,30625,42,29C
0005435212373,30625,43,29B
0005435212395,30625,44,29J
0005435212343,30625,45,30E
0005435212371,30625,46,30J
0005435212377,30625,47,31J
0005435212358,30625,48,32C
0005435212330,30625,49,32B
0005432211371,30625,50,32F
0005435212368,30625,51,32K
0005435212340,30625,52,33D
0005435212335,30625,53,33C
0005435212363,30625,54,33H
0005435212380,30625,55,35A
0005435212345,30625,56,35C
0005435212375,30625,57,35B
0005432211365,30625,58,35F
0005435212350,30625,59,35E
0005435212331,30625,60,35G
0005435212353,30625,61,36G
0005435630916,30625,62,36J
0005435212337,30625,63,37B
0005432211368,30625,64,37E
0005432211369,30625,65,37F
0005435212356,30625,66,37H
0005435212332,30625,67,38A
0005435212348,30625,68,38K
0005435212352,30625,69,39E
0005435212394,30625,70,40G
0005435212389,30625,71,40J
0005435212369,30625,72,42A
0005435212392,30625,73,41K
0005435212379,30625,74,42C
0005435725516,30625,75,42E
0005435212396,30625,76,42K
0005432159777,30625,77,43A
0005433656613,30625,78,43G
0005435725515,30625,79,43H
0005435212346,30625,80,43K
0005435212390,30625,81,45D
0005435212361,30625,82,45E
0005435212341,30625,83,45K
0005435725511,30625,84,46C
0005435212349,30625,85,46B
0005432159778,30625,86,46K
0005435212384,30625,87,47E
0005435630914,30625,88,49E
0005435212339,30625,89,49G
0005435212333,30625,90,50C
0005435212387,30625,91,50H
0005435212342,30625,92,51D
0005433367244,24836,1,1D
0005433367229,24836,2,1F
0005433367230,24836,3,2C
0005433367245,24836,4,2D
0005433367256,24836,5,3D
0005433367225,24836,6,3F
0005433367228,24836,7,4A
0005433367236,24836,8,4C
0005433367252,24836,9,4E
0005433367243,24836,10,5A
0005433367222,24836,11,5C
0005433367234,24836,12,5D
0005433367231,24836,13,5F
0005433367218,24836,14,6C
0005433367224,24836,15,6E
0005433367237,24836,16,7A
0005433367255,24836,17,7D
0005433367246,24836,18,7E
0005433367227,24836,19,8A
0005433367233,24836,20,8F
0005433367242,24836,21,9A
0005433367248,24836,22,9F
0005433367223,24836,23,10C
0005433367241,24836,24,10E
0005433367221,24836,25,10F
0005433367258,24836,26,11A
0005433367240,24836,27,13E
0005433367226,24836,28,13F
0005433367247,24836,29,14A
0005433367235,24836,30,14F
0005433367257,24836,31,15F
0005433367251,24836,32,16A
0005433367239,24836,33,16C
0005433367220,24836,34,16D
0005433367250,24836,35,16E
0005433367219,24836,36,17C
0005433367253,24836,37,17D
0005433367232,24836,38,18A
0005433367249,24836,39,18E
0005433367238,24836,40,19D
0005433367254,24836,41,19E
0005434979262,2055,1,1C
0005434979271,2055,2,1D
0005434979277,2055,3,2B
0005434979252,2055,4,2C
0005434979282,2055,5,2D
0005434979273,2055,6,3B
0005434979280,2055,7,3C
0005434979255,2055,8,4A
0005434979269,2055,9,4B
0005434979275,2055,10,4C
0005435801642,2055,11,4D
0005434979279,2055,12,5A
0005434979267,2055,13,5B
0005434979254,2055,14,5D
0005434979264,2055,15,6A
0005434979263,2055,16,6C
0005434979276,2055,17,7B
0005434979270,2055,18,18A
0005434979258,2055,19,18B
0005434979256,2055,20,18C
0005434979265,2055,21,18D
0005434979261,2055,22,19A
0005434979253,2055,23,19B
0005434979259,2055,24,19D
0005435801643,2055,25,20A
0005434979272,2055,26,20B
0005434979260,2055,27,20C
0005434979274,2055,28,20D
0005434979268,2055,29,21C
0005434979257,2055,30,21D
0005434979278,2055,31,22A
0005434979266,2055,32,22B
0005435801644,2055,33,22D
0005434979281,2055,34,23B
0005434952466,2575,1,1B
0005434952464,2575,2,4A
0005434952467,2575,3,5A
0005434952465,2575,4,4B
0005433256382,28205,1,1B
0005433256381,28205,2,5A
0005433111467,19732,1,1A
0005433111468,19732,2,3B
0005433112350,19732,3,4B
0005433111469,19732,4,6A
0005434190367,19092,1,1C
0005434190368,19092,2,7A
0005433534460,6786,1,1B
0005433534461,6786,2,2A
0005433534463,6786,3,2D
0005433538721,6786,4,3A
0005433538717,6786,5,4B
0005433538718,6786,6,4C
0005433534462,6786,7,5C
0005433538720,6786,8,21A
0005433538719,6786,9,21B
0005433538722,6786,10,21D
0005433538723,6786,11,22A
0005433538724,6786,12,23B
0005435259680,25029,1,3D
0005435259678,25029,2,4C
0005435259681,25029,3,18A
0005435259679,25029,4,19D
0005433511804,823,1,1D
0005433511803,823,2,4B
0005433511809,823,3,5D
0005433511807,823,4,6A
0005433511802,823,5,7B
0005433511801,823,6,19B
0005433511808,823,7,20B
0005433511806,823,8,21B
0005433511805,823,9,22B
0005432922454,16157,1,1C
0005432922455,16157,2,2D
0005432922453,16157,3,5A
0005433475633,4021,1,1D
0005433475632,4021,2,2D
0005433475631,4021,3,18D
0005433475630,4021,4,21A
0005435696849,3660,1,1B
0005435696846,3660,2,1D
0005434950451,3660,3,2A
0005435696864,3660,4,2B
0005435696862,3660,5,2D
0005435696847,3660,6,3A
0005435696850,3660,7,3D
0005435696866,3660,8,4A
0005435696843,3660,9,4C
0005435696863,3660,10,5A
0005435696851,3660,11,5B
0005434950450,3660,12,5D
0005435696870,3660,13,6B
0005434950452,3660,14,6D
0005435696859,3660,15,7A
0005435696871,3660,16,7B
0005435696855,3660,17,7D
0005435696869,3660,18,18A
0005435696852,3660,19,18C
0005435696857,3660,20,18D
0005435696853,3660,21,19A
0005435696845,3660,22,19B
0005435696844,3660,23,19C
0005435696856,3660,24,20B
0005435696858,3660,25,20C
0005435696865,3660,26,20D
0005435696848,3660,27,21C
0005435696861,3660,28,22A
0005435696860,3660,29,22B
0005435696854,3660,30,22D
0005435696868,3660,31,23B
0005435696867,3660,32,23A
0005435916119,16272,1,6A
0005435916118,16272,2,7B
0005432609659,3993,1,1A
0005432609661,3993,2,1B
0005432607495,3993,3,1C
0005434606760,3993,4,1D
0005432609658,3993,5,2D
0005434606759,3993,6,4A
0005434606763,3993,7,4D
0005433519378,3993,8,5B
0005432607494,3993,9,6B
0005433519379,3993,10,6D
0005434604838,3993,11,7A
0005434606761,3993,12,18B
0005433519377,3993,13,19B
0005432609660,3993,14,19C
0005434604839,3993,15,19D
0005434606762,3993,16,20B
0005433519380,3993,17,20C
0005432607496,3993,18,21B
0005434604837,3993,19,21C
0005435853578,22080,1,1D
0005435853580,22080,2,18C
0005435853579,22080,3,22C
0005435628670,728,1,1A
0005435628672,728,2,2A
0005435628669,728,3,4B
0005435628671,728,4,6A
0005433348889,15900,1,1A
0005433348891,15900,2,2A
0005433348887,15900,3,3B
0005433348888,15900,4,5B
0005433348890,15900,5,6B
0005433159275,17677,1,4A
0005433159274,17677,2,6A
0005433159276,17677,3,6B
0005435132700,7862,1,2B
0005435132696,7862,2,2D
0005435132694,7862,3,3D
0005435132695,7862,4,4B
0005435132698,7862,5,5A
0005435132697,7862,6,6A
0005435132699,7862,7,7D
0005435132703,7862,8,19B
0005435132704,7862,9,20A
0005435132702,7862,10,21C
0005435132701,7862,11,23A
0005435383058,33092,1,1A
0005435383057,33092,2,5C
0005435383056,33092,3,6B
0005435383059,33092,4,18B
0005435383055,33092,5,22B
0005435160112,7477,1,4C
0005435160111,7477,2,6A
0005435160104,7477,3,7C
0005435160106,7477,4,7B
0005435160109,7477,5,18B
0005435160103,7477,6,18D
0005435160105,7477,7,20A
0005435160110,7477,8,21B
0005435160113,7477,9,21C
0005435160107,7477,10,21D
0005435160108,7477,11,23B
0005435390116,29573,1,1A
0005435390120,29573,2,4A
0005435390121,29573,3,4B
0005435390122,29573,4,5C
0005435390118,29573,5,7C
0005435390117,29573,6,21A
0005435390119,29573,7,21D
0005434503467,6547,1,2C
0005434503492,6547,2,2F
0005434503487,6547,3,4A
0005434503465,6547,4,4C
0005434503495,6547,5,4F
0005434503472,6547,6,5A
0005434503463,6547,7,5D
0005434503469,6547,8,5E
0005434503460,6547,9,5F
0005434503488,6547,10,6C
0005434503484,6547,11,6D
0005434503490,6547,12,6E
